Height (in), Weight (lbs), Sex
65.81, 155.58, Male
66.41, 194.96, Male
76.96, 186.1, Male
66.86, 110.22, Female
75.95, 181.88, Male
64.36, 123.27, Female
73.24, 182.33, Male
71.62, 161.4, Male
63.39, 179.12, Female
65.34, 160.01, Male
66.95, 123.38, Female
68.79, 190.22, Male
63.18, 125.29, Female
63.24, 106.35, Female
66.44, 126.17, Female
66.25, 132.88, Female
68.73, 145.76, Male
66.95, 176.15, Male
73.34, 187.9, Male
71.7, 153.77, Male
65.02, 188.28, Female
68.13, 178.6, Male
64.73, 128.9, Female
63.65, 189.21, Female
64.64, 129.51, Female
69.47, 183.6, Male
65.11, 120.35, Female
71.07, 202.45, Male
67.5, 121.38, Male
65.1, 130.15, Female
63.63, 133.02, Female
63.72, 211.42, Female
64.66, 130.9, Female
62.61, 159.76, Female
61.24, 120.97, Female
76.74, 217.89, Male
70.43, 138.47, Male
74.33, 212.41, Male
57.91, 158.36, Male
69.96, 144.53, Male
71.76, 181.82, Male
68.76, 159.59, Male
64.94, 151.82, Female
67.81, 157.85, Male
65.52, 158.28, Female
67.21, 164.08, Male
62.1, 181.13, Female
72.28, 178.95, Male
69.18, 202.56, Male
60.11, 118.19, Female
65.2, 158.58, Male
61.24, 151.65, Female
66.23, 161.56, Male
66.15, 124.58, Female
66.19, 138.09, Female
65.63, 139.69, Female
66.9, 208.59, Female
66.79, 123.82, Male
66.15, 173.4, Male
64.59, 172.75, Female
68.71, 171.37, Male
62.98, 144.02, Female
64.24, 121.86, Female
60.09, 96.85, Female
63.96, 128.13, Female
68.76, 154.75, Male
74.56, 182.16, Male
62.59, 127.27, Female
65.28, 162.4, Male
65.2, 125.92, Female
67.79, 198.64, Male
69.64, 163.06, Male
66.17, 134.03, Female
65.1, 151.81, Female
66.27, 174.4, Male
66.46, 122, Female
67.6, 133.43, Male
68.89, 185.4, Male
67.86, 180.55, Male
60.4, 120.9, Female
61.15, 125.15, Female
72.81, 218.13, Male
68.59, 137.19, Female
67.9, 215.41, Male
62.27, 119.95, Female
64.27, 110.79, Male
57.26, 93.88, Female
65.03, 133, Female
75.81, 227.56, Male
63.09, 142.26, Female
69.69, 165.71, Male
77.41, 153.58, Male
62.72, 126.7, Female
67.57, 173.14, Male
68.8, 167.93, Male
69.65, 192.87, Male
68.7, 145.18, Male
67.16, 172.54, Male
65.4, 130.15, Female
73.3, 184.26, Male
62.37, 116.03, Female
62.35, 147.77, Female
69.34, 182.79, Male
66.86, 146.23, Male
71.99, 177.13, Male
71.92, 181.67, Male
63.47, 147.16, Female
68.05, 207.18, Male
58.6, 112.38, Female
72.19, 201.52, Male
73.22, 147.84, Male
64.17, 115.25, Female
64.58, 157, Male
69.97, 164.59, Male
69.42, 163.31, Male
69.98, 128.24, Male
63.81, 116.34, Male
68.71, 145.75, Male
63.84, 112.96, Female
70.31, 211.37, Male
68.41, 183.84, Male
64.88, 112.54, Female
73.43, 205.72, Male
74, 221.24, Male
67.11, 156.19, Male
59.7, 98.64, Female
70.42, 216.85, Male
61.68, 96.58, Female
66.78, 114.92, Female
70.27, 169.37, Male
69.9, 157.52, Female
67.15, 145.48, Female
66.69, 194.24, Male
68.51, 156.77, Male
59.75, 133.93, Female
74.93, 194.49, Male
65.1, 176.69, Male
73.28, 196.66, Male
71.4, 148.84, Male
63.92, 96.19, Female
61.21, 180.86, Female
65.54, 129.72, Female
62.52, 163.58, Female
64.45, 170.73, Female
65.27, 189.84, Female
68.7, 152.95, Male
60.81, 112.9, Female
71.13, 166.61, Male
74.57, 184.21, Male
64.84, 122.4, Female
61.45, 116.87, Female
61.52, 172.68, Female
70.34, 166.49, Male
68.65, 164.2, Male
63.31, 141.1, Female
66.6, 150.94, Male
70.95, 163.83, Male
73.76, 168.56, Male
68.33, 156.86, Female
63.12, 107.21, Female
63.22, 150.65, Female
67.42, 148.22, Female
73.2, 202.21, Male
65.31, 151.35, Female
68.58, 195.64, Male
62.5, 119.02, Female
66.75, 158.59, Female
69.69, 161.11, Male
65.35, 111.94, Male
66.87, 148.58, Male
65.22, 134.17, Female
70.92, 216.84, Male
65.33, 180.08, Male
72.42, 162.36, Male
61.27, 132.3, Female
67.54, 140.11, Male
68.75, 132.51, Female
68.94, 186.13, Male
65.26, 142.55, Male
62.53, 131.73, Male
66.57, 115.35, Female
68.99, 137.59, Male
65.65, 117.73, Male
67.22, 187.89, Female
57.24, 122.55, Female
62.84, 121.07, Female
70.75, 145.88, Male
73.45, 174.34, Male
70.04, 136.57, Male
60.09, 119.76, Female
63.51, 116.14, Male
70.44, 173.64, Male
64.24, 134.04, Female
62.26, 139.2, Female
63.15, 182.46, Female
60.22, 105.92, Female
68.29, 189.23, Female
63.53, 136.91, Female
69.49, 186.13, Male
61.68, 122.07, Female
71.33, 211.6, Male
62.29, 101.28, Female
67.35, 158.8, Male
66.33, 145.6, Male
72.36, 186.13, Male
72.66, 199.39, Male
64.8, 119.61, Female
65.5, 128.35, Female
70.09, 188.65, Male
65.39, 131.6, Female
61.32, 122.8, Female
62.78, 124.34, Female
66.27, 138.04, Female
62.37, 149.72, Male
69.95, 145.23, Male
69.32, 131.97, Male
72.39, 174.72, Male
70.26, 178.69, Male
66.03, 166.49, Male
65.22, 207.55, Female
65.02, 135.99, Female
68.86, 134.43, Male
68.71, 146.46, Male
68.54, 198.68, Male
65.67, 125.13, Female
64.99, 158.97, Male
66.79, 119.68, Female
67.38, 146.58, Female
65.23, 157.6, Female
69.87, 168.55, Male
68.45, 195.54, Male
70.44, 173.76, Male
50.71, 158.05, Female
64.4, 129.56, Female
71.21, 138.1, Male
67.56, 147.73, Female
68.04, 175.61, Male
64.24, 168.63, Female
62.32, 140.45, Female
60.59, 117.69, Female
67.47, 171.94, Female
64.82, 173.25, Female
65.31, 157.35, Male
68.69, 182.13, Male
65.72, 145.53, Male
70.13, 216.85, Male
66.93, 193.29, Male
63.95, 113.4, Female
63.15, 113.78, Female
68.41, 142.44, Female
63.83, 120.4, Female
68.98, 132.17, Male
61.5, 123.63, Female
65.27, 137.42, Female
69.22, 188.83, Male
59.41, 104.67, Female
67.84, 143.1, Male
69.48, 160.35, Male
71.09, 160.83, Male
57.1, 149.45, Female
72.17, 163.45, Male
70.99, 145.46, Male
70.56, 186.24, Male
61.92, 226.02, Male
66.64, 145.16, Female
66.7, 103.21, Female
55.87, 164.64, Female
68.81, 226.82, Male
63.62, 111.45, Female
65.69, 136.7, Female
63.6, 150.31, Female
66.32, 142.17, Male
76.17, 209.67, Male
68.76, 157.56, Male
66.77, 136.33, Female
65.24, 158.92, Male
69.91, 129.81, Male
63.54, 191.97, Female
70.28, 172.14, Male
65.25, 139.24, Male
67.48, 179.24, Female
64.88, 135.76, Female
65.73, 219.65, Female
65.12, 136.6, Female
65.17, 117.66, Female
64.75, 120.86, Female
67.34, 126.67, Female
67.48, 152.4, Male
63.63, 204.31, Female
69.45, 159.64, Female
61.7, 121.55, Female
60.39, 147.9, Female
68, 163.57, Male
67.09, 139.85, Male
64.99, 123.61, Female
71.78, 146.23, Male
65.33, 125.89, Female
67.89, 158.44, Male
58.4, 133.74, Female
67.4, 143.3, Male
61.85, 145.99, Female
69.67, 224.16, Male
63.3, 123.48, Female
61.31, 139.86, Female
65.78, 131.43, Male
68.82, 159.71, Male
63.02, 145.08, Female
67.84, 162.17, Male
69.85, 156.2, Male
63.18, 134.39, Female
59.18, 124.53, Female
70.81, 192.37, Male
66.69, 127.49, Male
71.14, 132.01, Male
63.69, 121.9, Female
70.07, 132.83, Male
69.42, 139.75, Male
72.32, 218.99, Male
64.09, 178.35, Male
69.29, 205.58, Male
65.55, 118.77, Female
68.89, 197.28, Female
67.62, 148.84, Male
69.02, 140.54, Male
63.01, 97.73, Female
64.27, 164.54, Male
68.01, 204.75, Male
65.44, 114.31, Female
69.1, 212.91, Male
69.91, 146.57, Male
63.97, 168.09, Female
71.58, 224.98, Male
68.32, 178.77, Male
61.39, 110.77, Female
69.43, 198.11, Male
65.08, 145.31, Female
68.28, 155.66, Male
68.22, 127.23, Male
62.39, 123.22, Female
73.79, 173.87, Male
65.08, 128.2, Female
64.6, 141.35, Male
67, 203.87, Female
63.05, 173.24, Female
62.53, 103.47, Female
72.47, 182.39, Male
65.64, 147.62, Male
65.76, 179.75, Female
64.8, 122.76, Male
72.06, 174.49, Male
65.79, 153.55, Male
69.55, 161.84, Male
59.15, 135.03, Female
64.9, 143.86, Female
66.8, 150.19, Female
68.89, 145.94, Male
63.84, 156.14, Female
72.56, 157.16, Male
62.72, 109.36, Female
72.98, 173.66, Male
65.56, 163.94, Female
63.67, 96.52, Female
63.03, 128.55, Female
62.62, 116.75, Female
71.06, 151.39, Male
73.08, 159.13, Male
62.28, 157.1, Male
66.3, 140.79, Female
62.07, 120.81, Female
60.96, 94.8, Female
63.74, 176.9, Female
65.6, 130.61, Female
63.63, 185.31, Female
62.56, 125.96, Female
66.65, 165.18, Male
62.11, 184.36, Male
72.34, 176.79, Male
67.18, 164.19, Male
71.38, 212.37, Male
71.55, 157.03, Male
67.59, 171.94, Male
68.54, 191.65, Female
67.09, 171.54, Male
69.63, 180.23, Male
69.65, 141.84, Female
69.7, 141.64, Male
76.88, 197.51, Male
62.17, 189.14, Male
60.8, 103.17, Female
70.56, 166.39, Male
70.36, 201.17, Male
68.37, 140.93, Male
64.16, 132.07, Female
73.82, 132.68, Male
67.1, 198.5, Male
61.08, 118.59, Female
68.09, 176.52, Male
66.03, 150.63, Male
62.87, 119.92, Female
67.33, 187.53, Male
62.04, 126.87, Female
70.6, 153.54, Male
73.35, 213.29, Male
64.36, 143.48, Female
63.48, 108.46, Female
65.51, 130.75, Male
68.9, 178.7, Male
68.03, 134.71, Female
70.6, 140.12, Male
69.13, 167.6, Female
64.15, 131.93, Female
62.3, 130.83, Female
62.06, 152.66, Female
63.41, 94.8, Female
67.72, 184.48, Male
70.36, 160.8, Male
62.17, 113.7, Female
63.44, 142.14, Male
65.33, 143.53, Female
69.04, 191.55, Male
67.5, 130.48, Male
75.31, 171.83, Male
67.49, 168.52, Female
59.43, 194.49, Female
76.63, 166.75, Male
62.92, 155.04, Female
65.05, 151.96, Female
70.12, 188.87, Male
66.61, 168.86, Male
63.11, 164.95, Male
65.41, 152.64, Female
66, 128.36, Female
68.19, 149.02, Male
67.61, 149.81, Male
64.4, 151.79, Female
64.16, 165.05, Male
64.48, 120.3, Female
63.54, 138.5, Female
63.55, 174.02, Female
71.14, 150.53, Male
72.91, 169.93, Male
69.57, 179.72, Female
65.94, 135.81, Female
62.32, 110.59, Female
72.91, 155.48, Male
70.2, 162.89, Male
61.98, 147.22, Female
66.04, 215.36, Female
69.49, 178.69, Male
63.22, 166.87, Female
63.98, 140.27, Female
69.3, 138.33, Male
66.01, 154.28, Male
70.69, 189.53, Male
72.05, 193.01, Male
68.78, 104.55, Female
68.42, 146.4, Male
69.33, 219.15, Male
66.17, 148.86, Male
63.17, 101.37, Female
67.42, 162.98, Male
69.21, 160.15, Male
62.84, 118.62, Female
66.49, 146.97, Female
66.6, 168.53, Male
73.47, 150.77, Male
67.2, 207.21, Male
68.74, 161.27, Male
68.45, 130.64, Male
60.33, 101.75, Female
66.41, 147.54, Female
72.38, 178.43, Male
61.25, 126.58, Female
62.9, 134.4, Female
62.39, 213.84, Female
66.24, 126.7, Female
70.2, 157.62, Male
65.12, 191.18, Female
60.38, 152.8, Female
59.86, 107.75, Female
73.5, 181.51, Male
61.39, 159.14, Female
59.25, 118.73, Female
65.61, 131.27, Male
72.45, 226.83, Male
62.32, 117.95, Female
66.21, 168.59, Male
67.5, 147.26, Female
59.37, 122.02, Female
69.73, 130.92, Male
68.99, 128.81, Male
64.8, 142.28, Female
68.89, 158.22, Male
65.64, 157.23, Female
65.11, 138.74, Female
62.88, 163.82, Female
67.12, 160.76, Female
66.75, 122.4, Female
68.14, 199.5, Male
64.42, 118.62, Female
58.92, 117.47, Female
67.36, 193.79, Male
67.63, 140.53, Female
69.05, 160.86, Male
67.21, 203.74, Male
65.95, 156.74, Female
63.58, 116.04, Female
61.7, 192.68, Female
65.61, 186.06, Female
66.38, 155.42, Male
68.07, 175.99, Male
72.39, 184.02, Male
68.09, 222.62, Male
68.1, 167.71, Male
70.58, 222.64, Male
66.12, 202.48, Male
63.02, 111.79, Female
66.35, 182.64, Female
63.34, 219.75, Female
66.24, 134.14, Female
62.94, 180.39, Female
70.97, 171.2, Male
61.55, 106.45, Female
71.66, 157.56, Male
73.91, 186.36, Male
64.48, 128.56, Female
64.77, 128.31, Female
71.79, 181.63, Male
66.11, 160.93, Female
63.35, 121.31, Female
67.42, 176.19, Female
66.67, 159.89, Male
66, 142.03, Male
66.05, 196.78, Female
67.2, 209.7, Female
62.44, 155.08, Female
65.25, 120.27, Female
70, 165.62, Male
62.1, 131, Female
64, 105.93, Female
70.45, 131.37, Male
70.11, 184.24, Male
68.58, 179.55, Male
67.8, 188.04, Male
71.37, 136.3, Male
70.83, 169.27, Male
61.84, 143.66, Female
72.21, 181.44, Male
66.15, 132.75, Female
66.51, 140.59, Female
65.14, 164.84, Female
65.67, 186.72, Female
61.13, 155.12, Female
71.21, 192.06, Male
59.66, 145.85, Female
68.45, 122.93, Female
65.74, 139.66, Male
64.18, 166.25, Female
67.42, 144.91, Male
67.23, 190.91, Male
71.81, 151.24, Male
59.97, 111.15, Female
64.33, 119.51, Female
71.55, 189.66, Male
76.26, 173.07, Male
68.43, 130.9, Female
69.16, 204.92, Male
68.06, 153.21, Male
61.89, 142.27, Female
70.28, 137.3, Male
65.81, 149.9, Male
64.04, 142.73, Female
62.9, 160.41, Female
64.97, 144.21, Female
71.81, 153.48, Male
71.59, 170.17, Male
63.83, 117.14, Female
63.93, 132.69, Female
70.22, 195.26, Male
64.65, 126.22, Female
63.91, 169.59, Female
71.26, 142.28, Male
62.96, 118.83, Female
63.63, 134.96, Female
70.06, 180.78, Male
63.35, 154.75, Female
72.79, 176.87, Male
62.09, 121.02, Female
62.7, 115.35, Female
70.98, 168.42, Male
63.03, 181.36, Female
61.86, 154.71, Female
65.38, 204.81, Female
62.48, 143.77, Male
65.32, 141.85, Male
68.05, 167.82, Male
72.06, 164.16, Male
67.88, 203.89, Female
70.61, 124.29, Male
73.31, 146.99, Male
62.38, 131.3, Female
68.52, 147.8, Female
60.83, 172.25, Female
70.7, 127.49, Male
65.31, 143.46, Male
65.75, 174.82, Female
64.9, 147.6, Female
64.21, 128.85, Female
65.61, 149.29, Male
67.91, 107.74, Female
70.84, 134.61, Male
61.9, 130.02, Female
75.09, 191.98, Male
63.11, 158.88, Female
72.44, 201.71, Male
70.31, 151.44, Male
59.83, 133.62, Female
70.67, 162.18, Male
64.62, 130.89, Female
61.27, 167.99, Female
67.06, 142.24, Male
72.24, 187.11, Male
66.48, 146.53, Male
69.45, 137.19, Male
65.74, 194.58, Male
65.29, 104.73, Female
65.6, 152.03, Female
71.32, 160.76, Male
66.63, 175.54, Female
69.77, 130.43, Female
68.93, 163.9, Male
70.86, 163.08, Male
73.73, 164.83, Male
63.58, 110.42, Female
62.67, 188.5, Female
61.08, 141.81, Female
67.74, 177.47, Male
68.68, 184.81, Male
65.13, 129.86, Male
59.24, 103.66, Female
74.98, 152.2, Male
62.7, 122.44, Female
66.13, 128.26, Female
71.72, 172.1, Male
67.31, 178.5, Female
64.3, 169.7, Female
58.08, 155.6, Female
61.14, 205.04, Female
62.51, 104.47, Female
74.05, 206.44, Male
70.31, 172.98, Male
67.74, 152.9, Male
71.24, 142.54, Male
65.05, 121.18, Female
61.56, 117.08, Female
63.3, 149.86, Female
62.51, 125.94, Female
63.46, 133.88, Female
62.33, 156.8, Female
64.36, 116.89, Female
70.96, 214.24, Male
63.15, 194.37, Female
66.78, 182.16, Male
60.31, 144.19, Female
61, 152.5, Female
69.73, 162.32, Male
64.54, 131.67, Female
72.28, 218.97, Male
64.96, 136.31, Female
72.68, 162.72, Male
64.1, 128.17, Female
74.07, 197.77, Male
64.77, 126.17, Female
73.59, 185.98, Male
73.81, 169.83, Male
65.5, 149.15, Male
62.23, 109.67, Male
66.68, 133.18, Male
65.5, 109.09, Female
61.9, 164.8, Female
73.91, 194.62, Male
67.98, 142.21, Male
63.56, 130.04, Male
60.61, 114.24, Female
63.46, 137.4, Female
66.27, 123.43, Male
68.95, 134.06, Male
70.51, 169.49, Male
67.16, 195.44, Male
68.04, 160.69, Male
62.89, 201.17, Female
61.67, 119.53, Female
65.1, 122.54, Female
69.79, 132.27, Male
66.34, 178.05, Male
59.49, 111.2, Female
66.91, 121.91, Female
71.03, 215.34, Male
62.1, 156.06, Female
62.56, 103.09, Female
68.79, 137.69, Male
63.94, 110.26, Female
67.06, 136.05, Female
65.31, 152.31, Male
65.43, 122.79, Female
66, 155.54, Female
65.64, 138.78, Female
68.84, 226.47, Male
66.74, 114.38, Female
69.96, 120.9, Male
62.16, 219.41, Female
60.93, 147.9, Female
70.29, 166.22, Male
62.75, 134.45, Female
63.55, 101.78, Female
63.54, 130.51, Female
61.07, 132.64, Female
74.83, 176.52, Male
67.12, 150.62, Male
72.58, 190.18, Male
61.58, 127.85, Female
73.95, 174.76, Male
67.28, 138.01, Male
63.37, 143.97, Female
62.64, 146.48, Female
59.3, 122.49, Female
72.27, 175.62, Male
69.55, 208.48, Male
68.44, 145.43, Male
66.73, 169.76, Male
70.33, 153.4, Male
67.89, 196.27, Male
63.33, 135.21, Male
69.21, 152.47, Male
71.87, 168.59, Male
64.5, 219.13, Female
68.11, 169.09, Male
69.47, 218.82, Male
66.71, 125.43, Female
61.42, 138.44, Female
71.4, 206.93, Male
72.31, 173.03, Male
68.41, 131.64, Female
64.09, 152.05, Female
65.67, 163.85, Female
59.45, 104.06, Female
58.83, 110.67, Female
67.68, 167.04, Male
60.66, 179.41, Female
73.84, 176.77, Male
61.36, 128.97, Female
69.03, 222.9, Male
67.16, 181.11, Male
74.34, 208.75, Male
62.36, 142.61, Male
65.48, 156.74, Male
62.18, 151.53, Female
62.05, 185.43, Male
66.42, 162.01, Female
70.21, 170.55, Male
71.34, 186.08, Male
68.67, 172.44, Male
65.67, 126.48, Female
66.46, 188.2, Male
65.02, 136.77, Female
66.12, 133.05, Female
72.12, 193.14, Male
65.78, 137.77, Female
71.88, 196.73, Male
67.28, 186.89, Female
72.97, 155.43, Male
69.96, 174.15, Male
61.23, 112.09, Female
62.94, 119.34, Male
66.2, 160.76, Female
61.33, 130.2, Female
63.17, 174.54, Female
72.83, 190.06, Male
66.25, 145.21, Male
62.86, 106.73, Female
64.54, 132.5, Female
65.94, 144.79, Female
73.04, 159.04, Male
67.2, 145.38, Male
67.58, 139.41, Female
71.67, 201.82, Male
66.78, 143.97, Male
65.56, 121.33, Female
65.77, 154.17, Female
70.66, 217.97, Male
66.66, 156.94, Female
64.59, 148.74, Male
63.66, 127.58, Female
62.43, 141.3, Female
68.94, 133.51, Female
69.16, 163.59, Male
68.89, 169.34, Male
70.43, 146.23, Male
64.61, 115.37, Female
65.24, 143.94, Female
72.21, 159.99, Male
62.81, 208.79, Male
64.38, 137.93, Female
69.14, 172.81, Male
63.16, 157.11, Male
62.68, 102.37, Female
63, 190.99, Female
67.48, 155.96, Male
56.41, 129.83, Female
60.19, 125.08, Female
72.1, 165.73, Male
63.19, 130.91, Female
70.2, 160.68, Male
66.12, 172.65, Male
68.8, 207.1, Male
55.18, 135.87, Female
59.4, 135.14, Female
68.62, 146.4, Male
63.25, 121.35, Female
71.3, 195.54, Male
64.59, 133.56, Female
63.35, 119.5, Male
66.05, 182.13, Male
65.65, 163.18, Male
63.1, 95.67, Female
62.82, 154.85, Female
62.63, 119.52, Female
70.52, 142.01, Male
70.42, 167.69, Male
63.64, 112.7, Female
71.12, 164.47, Male
66.13, 146.56, Female
63.13, 189.83, Female
63.58, 121.99, Male
58.35, 138.09, Female
63.27, 144.2, Female
69.2, 206.12, Male
68.78, 141.86, Male
67.38, 184.12, Male
65.88, 132.31, Female
62.03, 101.71, Female
71.4, 198.35, Male
63.3, 155.23, Male
72.37, 194.2, Male
64.34, 125.37, Female
62.01, 209.01, Female
67.79, 130.26, Female
61.21, 140.1, Female
64.28, 145.13, Female
67.78, 145.09, Male
69.36, 126.44, Female
61.28, 120.64, Female
61.54, 116.82, Female
63.47, 131.84, Female
70.26, 160.09, Male
63.41, 132.39, Female
62.19, 101.8, Male
69.38, 181.41, Male
65.65, 156.53, Female
68.59, 161.73, Male
77.67, 181, Male
62.83, 129.16, Female
63.5, 146.81, Male
65.37, 159.48, Female
70.55, 148.71, Male
68.88, 160.25, Male
66.66, 197.42, Female
67.41, 179.76, Male
61.67, 164.95, Female
66.45, 195.82, Male
65.84, 209.67, Female
61.68, 155.34, Female
62.26, 121.91, Female
63.25, 133.46, Female
68.56, 150.45, Male
65.82, 171.04, Female
64.16, 123.28, Female
68.65, 169.07, Male
70.7, 153.76, Male
62.03, 111.77, Female
65.37, 116.82, Female
66.47, 152.06, Male
74.11, 165.34, Male
71.15, 184.84, Male
66.35, 136.47, Male
64.97, 207.69, Female
73.55, 184.31, Male
67.83, 148.78, Female
64.83, 158.81, Female
64.76, 110.1, Female
63.44, 145.98, Female
71.3, 203.68, Male
63, 116.73, Female
60.18, 103.11, Female
68.05, 215.79, Male
65.47, 145.91, Male
71.87, 159.83, Male
65.08, 158.57, Female
66.3, 167.37, Female
68.02, 220.18, Male
61.96, 163.5, Female
68.43, 188.93, Male
67.79, 166.52, Male
62.32, 139.27, Female
67.16, 161.4, Male
69, 202.75, Male
68.44, 173.42, Male
68.59, 157.15, Male
69.54, 150.96, Male
69.84, 175.48, Male
66.41, 123.15, Female
69.94, 179.36, Male
68.87, 164.47, Male
63.7, 196.9, Female
68.47, 188.05, Male
69.5, 203.34, Male
67.69, 227.03, Male
63.79, 100.48, Male
68.89, 206.17, Female
67.78, 171.32, Male
57.65, 122.64, Female
67.21, 208.34, Male
62.66, 139.29, Female
63.34, 123.43, Male
59.24, 131.14, Female
63.16, 134.21, Female
63.23, 120.2, Female
68.61, 140.89, Male
68.74, 125.86, Male
66.66, 156.73, Female
61.81, 138.52, Female
67.08, 178.52, Female
59.63, 111.33, Female
62.13, 178.63, Female
61.94, 101.19, Female
65.91, 102.14, Female
65.81, 113.99, Female
67.24, 173.83, Male
71.86, 171.98, Male
66.91, 121.5, Female
67.63, 165.46, Male
64.28, 159, Female
77.08, 151.96, Male
65.54, 164.67, Male
58.48, 138.25, Female
65.94, 198.73, Male
68.82, 135.63, Female
63.65, 169.13, Female
63.63, 91.72, Female
66.06, 169.46, Male
72.01, 177.01, Male
62.48, 182.22, Female
65.28, 135.52, Male
64.53, 163.96, Female
65.31, 189.1, Female
68.87, 145.84, Male
63.58, 137.39, Female
72.75, 160.7, Male
71.88, 141.61, Male
72.2, 156.16, Male
73.34, 187.78, Male
66.42, 182.65, Male
64.28, 122.07, Female
72.54, 164.08, Male
64.37, 161.9, Male
63.83, 121.93, Female
64.62, 154.68, Male
65.26, 150.17, Female
67.07, 180.4, Male
63.3, 116.73, Female
65.2, 153.6, Male
64.45, 158.62, Male
62.02, 210.48, Female
68.18, 140.3, Male
67.1, 161.03, Male
70.83, 148.24, Male
65.15, 188.79, Female
64.31, 145.05, Female
69.92, 177.44, Male
72.77, 169.81, Male
66.23, 145.16, Female
76.3, 200.96, Male
71.78, 143.32, Male
66.48, 130.74, Male
65.56, 163.68, Female
62.21, 121.85, Female
66.63, 163.13, Male
66.49, 178.05, Male
68.11, 175.61, Female
63.31, 168.46, Female
60.93, 148.04, Female
62.64, 109.52, Female
61.32, 122.54, Female
70.75, 142.71, Male
67.56, 164.77, Male
63.18, 176.34, Female
65.95, 110.15, Male
71.56, 217.79, Male
70.21, 162.29, Male
68.98, 147.79, Male
69.04, 184.22, Male
66.99, 150.37, Male
69.87, 168.33, Male
63.66, 136.44, Male
61.11, 111.79, Female
64.19, 177.05, Female
62.56, 195.31, Female
69.79, 137.25, Male
64.34, 120.7, Female
68.84, 170.63, Male
58.67, 93.29, Female
68.28, 166.47, Male
65.91, 133.03, Female
63.17, 136.33, Female
64.87, 120.98, Female
68.52, 199.74, Male
71.05, 135.04, Male
65.25, 134.08, Female
70.81, 185.63, Male
68.49, 182.45, Male
65.9, 179.15, Male
61.66, 213.04, Female
65.21, 147.16, Male
70.75, 173.23, Male
61.27, 114.8, Female
67.69, 161.34, Male
67.1, 180.21, Male
61.89, 125.72, Female
68.27, 215.52, Male
61, 165.33, Female
59.57, 172.84, Female
62.96, 148.56, Female
63.63, 175.52, Female
65.56, 151.08, Female
64.59, 129.28, Female
68.84, 176.51, Male
62.2, 120.55, Female
71.45, 185.78, Male
64.5, 138.45, Female
70.79, 172.19, Male
72.65, 226.39, Male
71.58, 187.34, Male
72.98, 194.05, Male
66.84, 112.52, Female
71.93, 179.5, Male
74.77, 192.56, Male
73.84, 187.23, Male
69.06, 213.95, Male
67.86, 168.65, Male
76.74, 177.75, Male
63.92, 164.36, Female
60.8, 95.99, Female
65.6, 159.13, Female
62.53, 180.68, Male
62.54, 136.09, Female
71.62, 167.17, Male
65.97, 135.44, Female
67.17, 136.41, Female
63.04, 140.81, Female
72.56, 182.67, Male
63.19, 153.29, Female
64.93, 128.03, Female
61.03, 127.62, Female
71.22, 180.7, Male
62.27, 129.47, Female
66.63, 186.67, Male
71.65, 156.32, Male
63.33, 179.1, Female
70.45, 184.56, Male
62.58, 102.91, Female
65.82, 133.2, Female
69.15, 143.99, Female
69.87, 132.45, Male
62.31, 102.36, Female
65.98, 150.93, Male
62.53, 114.65, Female
68.18, 148.93, Male
69.52, 170.67, Male
62.29, 129.16, Female
62.22, 142.89, Female
65.39, 174.35, Female
73.8, 168.92, Male
71.12, 178.58, Male
64.67, 112.59, Female
69.08, 146.38, Male
67.1, 197.76, Male
67.64, 146.61, Male
65.79, 153.79, Female
62.87, 172.38, Female
68.76, 131.22, Male
73.58, 187.84, Male
65.99, 143.95, Male
65.63, 161.24, Male
74.31, 135.62, Male
60.93, 96.44, Female
61.46, 116.91, Female
64.8, 129.15, Female
67.68, 151.24, Male
74.21, 216.44, Male
66.49, 200.73, Female
64.23, 124.37, Female
65.14, 121.77, Female
70.38, 167.01, Male
68.35, 162.6, Male
63.44, 166.57, Female
63.5, 123.03, Female
66.43, 120.91, Female
62.14, 123.84, Female
64.5, 161.24, Female
62.03, 138.16, Female
62.98, 99.27, Female
60.93, 170.37, Female
68.97, 135.81, Male
68.55, 124.07, Male
74.02, 183.19, Male
74.08, 222.25, Male
64.91, 136.07, Female
61.07, 111.25, Female
72.63, 171.12, Male
69.51, 202.62, Male
64.12, 121.53, Female
70.97, 151.41, Male
65.28, 132.12, Male
63.89, 158.53, Female
61.63, 134.78, Female
71.52, 150.72, Male
66.15, 115.73, Female
70.99, 194.73, Male
68.3, 167.8, Female
62.67, 124.09, Female
66.24, 145.03, Female
70.13, 184.87, Male
71, 176.64, Male
71.81, 192.45, Male
65.65, 148.56, Female
57.34, 129.67, Male
63.54, 200.23, Female
64.59, 135.81, Female
66.02, 122.02, Female
60.45, 118.9, Male
70.73, 161.33, Male
69.87, 176.09, Male
68.56, 136.97, Male
70.75, 210.73, Male
69.18, 147.72, Male
69.17, 151.3, Female
60.26, 147.54, Female
66.05, 130.36, Female
52.24, 167.94, Female
62.35, 128.92, Female
65.11, 133.07, Female
67.12, 160.92, Female
62.83, 108.82, Female
66.56, 130.39, Female
68.52, 159.06, Female
68.37, 121.73, Male
66.52, 155.48, Male
65.05, 107.14, Female
63.15, 128.49, Female
62.89, 116.53, Female
70.75, 162.44, Male
61.35, 117.49, Female
66.51, 138.27, Female
64.75, 134.43, Male
68.53, 221.63, Male
66.93, 132.03, Female
64.94, 202.31, Female
70.13, 163.57, Male
